source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count
0,562,2.678376844329416,1.291174387709584,20.91134054054054,63.7027027027027,1.0,37
1,1190,6.2857142857142865,3.8359476021813683,12.518075,78.25,1.0,4
2,1341,1.924721263706771,0.20080033786504475,36.86171111111111,50.55555555555556,1.0,18
3,652,4.5316734417344176,1.9981612128748316,52.518966666666664,181.66666666666666,1.0,3
3,653,3.347826086956522,1.2759924385633266,45.69606666666667,122.33333333333333,1.0,3
4,1162,1.6932160282362712,1.4002818996953357,16.65936153846154,30.846153846153847,0.38461538461538464,13
5,908,1.676035593948697,0.048857071076396974,219.22347986111112,336.86805555555554,1.0,144
6,745,4.28435548557006,7.93333889923327,24.012310256410256,102.92307692307692,1.0,39
7,96,1.718668292352503,0.007590660113874279,42.16805,52.333333333333336,1.0,6
7,102,1.5718970327908521,0.03959219340763372,54.0627,64.36111111111111,1.0,36
7,104,2.0979710391440496,0.8928824317354342,27.14565416666667,40.916666666666664,1.0,24
7,105,1.63746034853737,0.0023644369062011034,97.25148571428572,116.14285714285714,1.0,7
7,107,1.6150444116889209,0.03963036293997577,49.27319019607843,57.549019607843135,1.0,51
7,110,1.6108792740513171,0.7348574690164219,52.985458333333334,83.04166666666667,0.5416666666666666,24
7,118,2.010324049539736,0.4661781803786553,32.13248333333333,50.333333333333336,1.0,6
7,130,1.455642965751387,0.009412709307687896,93.82331428571429,104.57142857142857,1.0,7
7,135,2.026949208130753,0.2224071778416584,59.22342508250826,84.5973597359736,0.9900990099009901,303
8,11,2.0671999320775427,1.3819225982434828,38.53579708029197,83.75912408759125,0.9854014598540146,137
8,20,2.07083624433961,0.17573558265340403,40.36853611111111,91.44444444444444,1.0,36
8,21,1.833324069635993,0.371821225086145,34.47943925925926,64.83703703703704,0.9629629629629629,135
8,24,1.721227497725162,0.5085832334117693,26.759150318471338,47.32484076433121,0.9044585987261147,157
8,27,2.026222842061151,0.6755384162273514,26.14347462686567,53.38805970149254,0.9253731343283582,67
8,28,1.898353518656908,0.16667101163724463,36.067613333333334,74.44444444444444,1.0,45
8,31,1.3883281862399879,0.012299530209214152,43.0432,62.92857142857143,1.0,14
8,32,1.6097028453848214,0.34279379485929284,37.888564335664334,67.08391608391608,0.8426573426573427,286
8,37,1.627414098801864,0.1313092865756043,42.12773393939394,71.8,0.9757575757575757,165
8,39,1.5920330450697655,0.08481057673348708,45.10216571428572,77.51428571428572,1.0,35
8,41,2.1825319488467074,1.7205684284208314,44.59084398496241,113.98872180451127,0.5827067669172933,266
8,44,1.6934184877154788,0.19835456828527703,46.2065137829912,74.27272727272727,0.967741935483871,341
8,46,1.647347776908605,0.14520400303397957,45.82155405405405,68.64864864864865,0.9783783783783784,185
8,49,1.5553110564839039,0.4854586449870068,25.963546428571426,40.38392857142857,0.7991071428571429,224
8,52,1.9699516170104405,0.13453038580527005,25.652562500000002,50.25,1.0,8
8,61,2.055118404731814,0.3776330658603557,38.993448275862065,74.24137931034483,1.0,29
8,62,1.968789566320627,0.14120790908877498,79.85630285714286,126.05714285714286,0.9714285714285714,35
8,65,2.168091311720241,0.38988062410852975,101.36058857142858,172.0,1.0,105
8,66,1.7155438932744111,0.05118600732356433,101.42445714285714,146.5,1.0,28
8,67,2.1790578628667867,0.15332443278067545,92.25164166666667,153.0,1.0,12
8,76,1.9511229415203186,0.025241807467578797,84.32404,126.9,1.0,10
8,79,1.8916967480076223,0.41031749694784647,61.92919001349527,114.08502024291498,0.9230769230769231,741
8,135,2.015222235592946,0.49333079972562366,156.76504710365853,234.77591463414635,0.9771341463414634,656
8,167,1.5517369481014744,0.0614496811620658,62.23936944444444,77.77777777777777,0.9166666666666666,36
8,169,1.5302866315509311,0.1418533334913501,46.03714603174603,78.58730158730158,0.746031746031746,63
8,173,1.4143755435177856,0.15315030301660149,47.43174516129032,74.35483870967742,0.6290322580645161,62
8,175,2.1192614418713385,0.40990740805657316,57.187352302631574,118.95065789473684,0.9901315789473685,304
8,200,2.2591686604562033,0.17659317603572172,239.53979776951672,399.3382899628253,0.9851301115241635,269
8,327,2.0877761365136274,0.26999709948853196,110.80058055555556,163.55555555555554,1.0,72
8,334,1.1918232030471858,0.2704118322990537,83.3882,95.58333333333333,0.3333333333333333,24
8,335,3.1127450980392157,0.9351931949250292,44.496566666666666,122.0,1.0,3
8,339,2.060929220857082,0.1149133469666659,126.92779777777778,186.88518518518518,1.0,270
8,342,1.7691325074600803,0.10835456400936505,127.16269277777778,165.6888888888889,1.0,180
8,387,1.6533704913357252,0.09835648970223054,146.521884,210.94,0.9,50
8,475,1.957146841592176,0.09020234269739982,482.113208438061,646.0628366247756,1.0,557
8,500,1.7260868832159195,0.05557763165491248,485.213554025974,680.0883116883117,0.9714285714285714,385
8,562,1.7924425285032701,0.060930768955032834,706.7954499107143,932.1508928571428,0.9919642857142857,1120
8,600,1.9395230983536127,0.13649141501428694,674.0505580086581,970.6283240568955,1.0,1617
8,668,1.7270334608403388,0.03749695555703697,409.5699323144105,552.67903930131,1.0,458
8,690,2.671056059150563,1.8262758500770853,182.0915230769231,433.9230769230769,1.0,13
8,744,1.8781611089073493,0.12188651668933209,799.9372946918853,1112.077486272117,0.9993898718730934,1639
8,843,1.9294408030663222,0.03978379165115136,898.6706897959184,1284.6224489795918,1.0,686
8,908,1.697871888251501,0.04729646738758138,1033.9525609927653,1367.2122186495176,0.9981913183279743,4976
8,1018,1.7932831339816389,0.02161518570243765,1117.7386109359607,1457.1201970443349,1.0,1015
8,1202,2.2219027153286337,0.6093145795142402,726.1997479888073,1128.0531654424624,0.9989506820566632,2859
8,1292,1.912925528012439,0.08664881617448687,881.8475364595545,1240.981242672919,0.9894490035169988,853
8,1418,2.1774496676271857,0.08621291123572403,457.8754646616541,685.0631578947368,1.0,665
8,1432,2.0308671573381964,0.1460204104037526,630.255987654321,865.679012345679,0.9972565157750343,729
8,1437,1.9088578339387372,0.03281398040085054,539.0070558333334,749.1430555555555,1.0,720
9,745,2.73448302660039,0.7304358632194272,20.49332021276596,48.180851063829785,1.0,94
10,745,2.870285652461324,3.5321622384808484,17.048874193548386,40.16129032258065,1.0,31
11,6,1.6870705993673494,0.5085269839829591,32.26735923566879,50.84076433121019,0.8853503184713376,314
11,79,1.4237840958602743,0.2564183345810136,28.631361714285713,58.05142857142857,0.6571428571428571,175
11,135,1.802076992554412,0.05951096057291329,128.9404261904762,178.83809523809524,0.9809523809523809,210
12,1160,2.011655011655012,1.268048967349666,19.1421,44.0,1.0,3
13,1013,1.7507659205350123,0.09626442458639448,29.302237500000004,44.986111111111114,1.0,72
14,6,1.811227346287608,0.3731539336837214,39.30629,67.81,0.97,100
15,23,2.801445580067703,3.0764927364839685,30.61346862745098,85.94117647058823,0.9411764705882353,51
15,33,1.9907918767133246,0.1886864971165566,37.09751060606061,77.07575757575758,1.0,66
16,1,2.5788989554505233,0.25243323285461067,53.50026666666667,93.29166666666667,1.0,24
17,1261,4.5964912280701755,0.2696214219759927,27.9396,87.33333333333333,1.0,3
18,1138,1.7648953301127213,0.007488830285161586,33.8408,65.0,1.0,2
18,1144,2.02140882235343,0.25752375235332636,34.86325,78.0,1.0,6
19,1184,1.0953756613756613,0.023256282175667695,14.9063975,21.6,0.325,40
19,1186,2.111111111111111,0.02469135802469138,17.66505,44.0,1.0,2
20,1160,2.3432687424150456,1.3050625009888548,20.595691666666667,49.375,1.0,24
21,523,2.0027850877192983,0.015954327546127533,17.356479999999998,30.2,1.0,20
21,530,2.8903508771929824,0.006502000615573988,20.27765,45.0,1.0,2
21,533,4.0814814814814815,3.9038683127572025,15.4806,68.66666666666667,1.0,3
21,551,3.744871794871795,9.90993918474688,17.0036,49.6,1.0,5
21,552,3.0588235294117645,0.006920415224913524,17.80965,46.0,1.0,2
21,553,2.352315674211055,0.8123539259734716,16.66705,31.75,1.0,80
21,554,3.14140678619626,1.117914044725103,17.856872,48.08,1.0,25
21,600,3.144406938550065,1.7140904009869844,19.951753571428572,56.5,1.0,28
