node,in_degree,out_degree,betweenness,pagerank
0.0,1,1,6.680020770411249e-06,0.00011791956354897618
562.0,23,2,0.09583009882486351,0.006769212075237353
1.0,1,1,0.0904387282835176,0.001089564528784332
1190.0,2,1,0.09147952005301946,0.0010415248288950445
2.0,2,1,0.01832512072494045,0.0007559108039511351
1341.0,1,2,0.01828236859200982,0.0007425493608872393
3.0,1,2,0.02161292339014292,0.00014205899558891621
652.0,2,1,0.002459657870118426,0.00034459773448025123
653.0,1,3,0.019718617944560295,0.00015130492944291556
4.0,1,1,0.003133375076040903,0.0014918521554973282
1162.0,1,1,0.0030906229431102708,0.0013604509022367539
5.0,13,1,0.000344911739112234,0.0017791822903344716
908.0,36,1,0.0007800260253609224,0.005561939357116645
6.0,45,1,0.0012425951969759989,0.008155683468699673
745.0,3,2,0.00125478252375935,0.0085290468449814
7.0,1,9,0.024345662214713057,0.0005254073388296524
96.0,1,2,0.0007808202056080704,0.00014876231529502862
102.0,2,2,0.0003309011915928258,0.00015377518837738334
104.0,2,1,0.00018171512056843722,0.00022850106688736467
105.0,3,1,0.0003417201736330377,0.00018930197323478086
107.0,5,2,8.790767644902881e-05,0.0008511502108345387
110.0,1,2,0.015404964281600621,0.0001457041090552721
118.0,2,1,0.03211763741364694,0.000217364710862419
130.0,6,1,0.0,0.0035948777006896806
135.0,32,1,0.0,0.04559287313249087
8.0,1,49,0.08093541029503487,0.0002743254814431082
11.0,1,3,8.096994873225757e-07,0.00010518629381618871
20.0,3,1,0.0008425542007342424,0.00019808778876184604
21.0,2,8,0.0037979125550078523,0.00011729913420827388
24.0,1,1,0.0015935284976684178,0.00010431830099700832
27.0,3,1,5.263046667596741e-06,0.00031171652321730544
28.0,1,24,0.019694512933775245,0.00010476268355178192
31.0,1,1,8.096994873225757e-07,0.00010348310667749522
32.0,2,6,2.9867789838611517e-05,0.00011125809223399446
37.0,4,1,0.0,0.0018615411689861037
39.0,3,2,0.0004817711949569326,0.0003448522807665385
41.0,1,1,8.096994873225757e-07,0.00010547564450554238
44.0,1,1,0.0,0.00010424853237211164
46.0,8,1,0.0,0.00607915270634997
49.0,2,1,0.000477844152443418,0.0007809425204767075
52.0,1,2,0.0009582793432462681,0.0001049423124154345
61.0,1,8,0.004517936233628342,0.00010515598308059369
62.0,1,5,0.0033385934111028093,0.00010493939700497363
65.0,7,1,0.0007941611613752583,0.0012939388092733776
66.0,4,1,0.0008426178199796701,0.00046832589661046265
67.0,2,1,0.0,0.0001374927680329149
76.0,2,20,0.05806961151813795,0.00258492741111861
79.0,20,3,0.0024079873057953802,0.005813691512699885
167.0,2,1,0.0,0.0001068357062103383
169.0,8,1,0.0,0.0032445041600166094
173.0,8,1,3.707411527578241e-05,0.000838324010350745
175.0,1,2,0.0004787348218794728,0.00010531690831656443
200.0,16,1,0.0,0.014161585502488392
327.0,6,2,0.013354891916344987,0.0004779128068668466
334.0,5,1,0.013940832235583253,0.0007516034856221587
335.0,2,2,0.015445544025344942,0.00104021075628526
339.0,10,2,0.04871726530043893,0.0020164572725272123
342.0,1,1,4.052545934049491e-05,0.00010443848746368596
387.0,3,2,0.0039525099722106894,0.00016789291751520425
475.0,17,1,0.0,0.014896129936583345
500.0,5,1,0.00749023306740913,0.00030022583790302604
600.0,29,1,0.04713215362894143,0.0040633414005833484
668.0,13,1,0.010871577936693,0.0021864782181403503
690.0,8,1,0.01774532673169147,0.0013329918497653806
744.0,30,1,0.0,0.09453409646788873
843.0,8,2,0.010403918165122572,0.00430022083919008
1018.0,18,1,0.017411897206059027,0.0055634073549369065
1202.0,22,2,0.10087464580821767,0.00610164912817347
1292.0,13,1,0.12747818114858311,0.002092098705350302
1418.0,6,1,0.008674716118962249,0.000541666209625158
1432.0,5,1,0.002449563616509805,0.00041534881465700544
1437.0,12,1,0.00480781028876733,0.0012620524431385246
9.0,4,1,0.0004952270509370883,0.0015832084171688095
10.0,1,1,2.2415180807379968e-05,0.00015621719190973908
12.0,1,1,0.006160074979409963,0.00046011956435073725
1160.0,13,3,0.21792792773289665,0.004371368631818564
13.0,1,1,0.0019381295627987896,0.00044756795477919804
1013.0,3,1,0.020262962940814023,0.005334952607953388
14.0,1,1,0.0005557777280982159,0.0030947289057902125
15.0,1,2,5.344016616329e-06,0.00019371855791129006
23.0,1,1,8.906694360548332e-07,0.0001962573750408169
33.0,1,1,4.453347180274166e-06,0.00016840339918377964
16.0,5,1,0.09048148041644823,0.0011623334558417714
17.0,1,1,0.000870184039025572,0.00014549792113962242
1261.0,1,1,0.0013061667279744128,0.00022367323297538152
18.0,1,2,0.0015507763647377858,0.00018867064297370498
1138.0,1,2,0.0014272532378060668,0.00017475273637304018
1144.0,2,2,0.0009726279893039931,0.0004199531381664128
19.0,1,2,0.00121531844549682,0.0001060111971148254
1184.0,1,1,1.0688033232658e-05,0.0001307825327008041
1186.0,3,2,0.017252806679647525,0.0005045484547738121
523.0,11,1,0.003560005735911168,0.001171158599899575
530.0,1,1,0.0,0.00011180272821493636
533.0,1,1,0.0,0.00011666670196353649
551.0,2,1,2.756922328804255e-05,0.00016172340480929552
552.0,1,1,2.489721497987803e-05,0.00011249068514828933
553.0,1,1,2.489721497987803e-05,0.00010960566511060108
554.0,1,2,0.0001961699432910771,0.00011282791331758285
22.0,1,1,0.0,0.0001041923414357749
25.0,21,1,0.00012447105368866294,0.0018922287857134532
26.0,1,1,4.453347180274166e-07,0.00011333086921064807
172.0,1,1,1.7813388721096664e-06,0.00010476415943672072
178.0,4,2,0.0004773988177253906,0.00035028962726482596
226.0,1,1,0.012186139224102228,0.00010329785029922293
279.0,2,3,0.0012965736526436994,0.0003762152456429777
325.0,2,1,0.0019149392875178913,0.00011656813958357468
326.0,1,1,1.4844490600913886e-07,0.00010347864713151087
1332.0,17,1,0.06596488034935874,0.005806764685680662
1404.0,1,1,0.0,0.00010334507134333167
29.0,2,1,0.0003761593918271587,0.00020195185158933984
30.0,1,2,0.0,0.0001492894145679243
34.0,1,3,0.0004355373542308134,0.00014072219466361083
35.0,1,1,2.226673590137083e-07,0.0001274769938220201
36.0,1,1,2.226673590137083e-07,0.0001156206941295875
38.0,1,5,0.0,0.00011643065604741798
40.0,1,1,0.0,0.0002796240225233618
42.0,1,1,2.226673590137083e-07,0.00011108382350699585
43.0,1,1,0.0,0.00011801590577187774
45.0,1,7,0.0,0.00011185781445852361
47.0,1,1,2.226673590137083e-07,0.00011386540312710457
48.0,1,5,0.00043509201951278607,0.00011319544864844964
50.0,1,1,0.0008661760265633254,0.00011989322881321786
53.0,2,1,8.906694360548332e-07,0.0007913507738827995
54.0,1,1,8.906694360548332e-07,0.00010825893393399578
784.0,1,1,0.001301713380794139,0.00020190924449123515
51.0,1,1,0.002871350731161141,0.0003190079190844483
56.0,1,1,0.0024024132730782748,0.00037159084954298743
55.0,1,2,0.000488532185676076,0.00014616849587920685
59.0,1,1,2.226673590137083e-06,0.0001920200938438964
58.0,1,3,1.8704058157151498e-05,0.0001587688809356728
74.0,1,1,0.0019325851455593507,0.0004158575559473929
57.0,2,1,0.052021558427498005,0.002917708057448291
60.0,1,2,0.0014892996741153652,0.0001798136825801772
80.0,1,2,0.0006736875169412752,0.00017898274773317193
68.0,2,1,0.0009629621052812837,0.0001307765963331367
70.0,3,2,0.001936434109908013,0.001362335507693842
408.0,1,1,0.0004809614954696099,0.00011597181730622319
409.0,3,1,0.0,0.0008295217919107962
410.0,3,1,0.0043252392263882795,0.00034534889260794853
411.0,2,3,0.0033517375327803468,0.0001221981165261878
63.0,1,2,0.0014618663486043715,0.00045407240049323273
64.0,2,2,0.0022193298085726584,0.0004362472610108499
69.0,1,1,0.0003334814813495306,0.00031987569025475435
