source_center,destination_center,recommended_route_type,delay_ratio,sla_breach,trip_uuid
866,857,Carting,4.163690476190476,1.0,2
1225,1244,Carting,4.159716209716209,1.0,6
316,316,Carting,4.136363636363637,1.0,2
670,668,Carting,4.116130096318775,1.0,53
296,254,Carting,4.109171907756814,1.0,3
47,46,Carting,4.103999274407539,1.0,51
929,916,Carting,4.090247095239356,1.0,19
574,600,FTL,4.087240413978887,1.0,6
21,533,Carting,4.0814814814814815,1.0,3
653,2,Carting,4.054695831734371,1.0,5
540,523,Carting,4.047887295414033,1.0,55
1293,1283,Carting,4.0397178342490845,1.0,48
1386,1367,Carting,4.036904761904762,1.0,4
171,169,Carting,4.035714285714286,1.0,4
1226,1268,Carting,4.029761904761905,1.0,4
735,738,Carting,4.022222222222222,1.0,6
152,135,FTL,4.003571428571429,1.0,1
214,208,Carting,4.0,1.0,1
1229,1228,Carting,3.98990990990991,0.6666666666666666,3
878,744,FTL,3.976906051159355,1.0,5
1353,1366,FTL,3.963855421686747,1.0,2
542,534,Carting,3.9531453575230278,1.0,57
1487,1470,Carting,3.9411764705882355,1.0,1
1428,1406,Carting,3.9368850477358723,1.0,36
46,46,Carting,3.926370688135394,1.0,11
510,562,FTL,3.9252098355901235,1.0,6
1229,1232,Carting,3.9160436246523203,1.0,10
515,512,Carting,3.909090909090909,1.0,1
791,782,Carting,3.901595860566449,1.0,9
106,111,Carting,3.899611928104575,1.0,4
1408,1348,Carting,3.889716290924471,1.0,33
29,37,Carting,3.8878940503940504,1.0,6
1492,1465,Carting,3.887584987555394,1.0,17
1386,1387,Carting,3.882943722943723,1.0,4
528,603,Carting,3.8812552213868003,1.0,6
603,908,FTL,3.878053124659409,1.0,14
199,200,Carting,3.8754376058723885,1.0,5
899,897,Carting,3.8721445221445223,1.0,4
913,885,Carting,3.870306223369949,1.0,18
48,25,Carting,3.8666666666666667,1.0,1
1219,1193,Carting,3.865948964793856,1.0,80
1230,1214,Carting,3.865468409586057,1.0,6
1476,1457,Carting,3.854022988505747,1.0,2
1485,1437,Carting,3.8524419753184724,1.0,80
140,86,Carting,3.8484848484848486,1.0,2
921,898,Carting,3.8479680696661824,1.0,3
674,668,Carting,3.842937332275568,1.0,34
1024,1016,Carting,3.839475017735887,0.9565217391304348,23
222,208,Carting,3.8168418426509456,1.0,36
187,327,Carting,3.815183681490183,1.0,8
624,616,Carting,3.811258703581165,1.0,6
1229,1202,Carting,3.809152707786889,1.0,83
1407,1382,Carting,3.8041195957767147,1.0,8
733,746,Carting,3.8,1.0,1
563,565,Carting,3.799389499389499,1.0,9
341,340,Carting,3.7929617604617603,1.0,15
1206,1202,Carting,3.79251592542769,1.0,10
208,206,Carting,3.7910761693548354,1.0,30
1024,1029,Carting,3.787858893557423,1.0,4
384,334,Carting,3.7824175824175823,1.0,4
1219,1204,Carting,3.7783757372869116,1.0,17
129,5,Carting,3.7746560024151035,1.0,133
1294,1283,Carting,3.772913752913753,1.0,5
394,392,Carting,3.7709642452905245,1.0,14
342,340,Carting,3.765248332612586,1.0,26
412,65,Carting,3.7600328823255396,1.0,5
215,212,Carting,3.7566517949512046,1.0,38
385,334,Carting,3.7566513874788714,1.0,18
1390,1366,Carting,3.75453431372549,1.0,8
1429,1406,Carting,3.748874771975176,1.0,3
21,551,Carting,3.744871794871795,1.0,5
535,602,Carting,3.7374222999222995,1.0,12
1353,25,FTL,3.7272293899727016,1.0,23
1302,1191,Carting,3.7242837712415136,1.0,49
785,774,Carting,3.7196856370639293,1.0,27
427,424,Carting,3.718633823038871,1.0,52
1140,1122,Carting,3.7165692382090234,1.0,12
1364,1343,Carting,3.7083333333333335,1.0,3
53,49,Carting,3.7063827376327376,1.0,8
561,558,Carting,3.705306340256788,1.0,8
228,225,Carting,3.702456429135237,1.0,47
562,556,Carting,3.6975324675324672,1.0,10
998,987,Carting,3.695456210600512,1.0,106
1219,1332,FTL,3.6924341906267886,1.0,32
237,316,Carting,3.688783846872082,1.0,3
527,600,Carting,3.6777777777777776,1.0,3
536,532,Carting,3.6666666666666665,1.0,1
878,875,Carting,3.666020099796191,1.0,17
534,600,Carting,3.6647896660809733,1.0,80
768,774,Carting,3.663868090930009,1.0,28
38,35,Carting,3.6533333333333333,1.0,5
608,600,Carting,3.6454750705427594,1.0,58
569,559,Carting,3.6438644688644692,1.0,6
1198,1182,Carting,3.636796536796537,1.0,3
209,200,Carting,3.634970900003215,0.9795918367346939,49
648,647,Carting,3.62967032967033,1.0,5
69,65,Carting,3.6165884590172444,1.0,6
747,734,Carting,3.6157342657342655,1.0,4
732,734,Carting,3.6096897211835293,1.0,38
543,534,Carting,3.6080132446386317,1.0,30
129,135,Carting,3.6068326684947687,1.0,10
1229,1235,Carting,3.6032014221158954,1.0,8
28,19,Carting,3.601094821813885,1.0,26
1218,1199,Carting,3.598006004716531,1.0,60
504,499,Carting,3.5907409985500225,1.0,16
673,669,Carting,3.5854166666666663,1.0,4
605,597,Carting,3.584707378575303,1.0,53
76,281,Carting,3.5771737521737523,1.0,6
188,190,Carting,3.5614778176090485,1.0,23
1289,1274,Carting,3.5566520979020977,1.0,10
886,857,Carting,3.555949667888657,1.0,60
1486,1475,Carting,3.548310509045167,1.0,83
1355,1332,Carting,3.544117647058824,1.0,3
711,709,Carting,3.541666666666667,1.0,2
182,179,Carting,3.5412587412587415,1.0,5
1113,1102,Carting,3.537878787878788,1.0,7
1295,1245,Carting,3.537581699346405,1.0,2
85,135,Carting,3.5368520223009385,1.0,5
631,634,Carting,3.536689002694914,1.0,88
1415,1391,Carting,3.5341993464052286,1.0,5
8,908,FTL,3.5332621996133193,1.0,8
320,216,Carting,3.5322395833333333,1.0,4
469,467,Carting,3.5319751078448105,1.0,9
141,141,Carting,3.53125,1.0,1
528,517,Carting,3.530024509803922,1.0,4
1400,1359,Carting,3.5296366987528462,1.0,18
1219,1192,Carting,3.5260320326849564,1.0,58
204,25,FTL,3.523424774997668,1.0,5
796,782,Carting,3.5193678086578712,1.0,20
739,744,Carting,3.515088897008207,0.967741935483871,31
30,6,Carting,3.50748158312468,0.9473684210526315,19
1497,1476,Carting,3.506523569023569,1.0,3
1460,1442,Carting,3.5021306806134214,1.0,18
538,601,Carting,3.4997099270164167,1.0,35
973,962,Carting,3.4978664192949904,1.0,14
1219,1190,Carting,3.4951660292116613,1.0,46
1303,1191,Carting,3.487559266130695,1.0,7
1262,1250,Carting,3.48255056042885,1.0,24
1460,1440,Carting,3.478160173160173,1.0,30
38,6,Carting,3.47115865747071,1.0,49
1273,1245,Carting,3.4686019862490447,1.0,3
472,466,Carting,3.4676932367149758,1.0,3
76,84,Carting,3.4643895530992306,1.0,6
1117,1106,Carting,3.457681182841029,1.0,7
23,25,Carting,3.449539993018254,1.0,9
1368,1373,Carting,3.4434782608695653,1.0,4
703,1438,Carting,3.4434476846792488,1.0,32
749,7,Carting,3.4421820136038987,1.0,22
1154,1141,Carting,3.437235117223064,0.4444444444444444,9
1391,1342,Carting,3.433498242552086,1.0,8
8,600,FTL,3.432545830433445,1.0,11
1459,1436,Carting,3.428806387700183,1.0,24
1118,1104,Carting,3.426282051282051,1.0,3
204,6,FTL,3.421082251082251,1.0,2
