source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,corridor
IND847404AAB,IND842001AAA,6.971503043912582,5.866444977502575,87.4781945945946,468.2972972972973,1.0,37,4.848534710815805,IND847404AAB → IND842001AAA
IND500050AAA,IND501218AAC,4.826180584648326,8.805287249761578,26.54839,109.2,0.9,10,4.842058408787803,IND500050AAA → IND501218AAC
IND712124AAA,IND712310AAE,6.402502760397498,6.368576943464105,16.222140000000003,102.2,1.0,5,4.7715741871982305,IND712124AAA → IND712310AAE
IND000000AFT,IND410206AAA,3.744871794871795,9.90993918474688,17.0036,49.6,1.0,5,4.770930473372783,IND000000AFT → IND410206AAA
IND121004AAC,IND121004AAB,3.926370688135394,9.303673920156083,13.64759090909091,46.36363636363637,1.0,11,4.661650451300982,IND121004AAC → IND121004AAB
IND211008AAA,IND211002AAB,6.421768707482992,5.90395711856171,16.43307142857143,84.78571428571429,1.0,14,4.63989461856171,IND211008AAA → IND211002AAB
IND311302AAA,IND305624AAA,4.30919879913688,8.571491236871886,36.019200000000005,131.0,1.0,6,4.595126890716317,IND311302AAA → IND305624AAA
IND751002AAB,IND754103AAA,6.055562224889956,6.094634760533533,38.89928571428572,189.14285714285714,1.0,7,4.5506153181160425,IND751002AAB → IND754103AAA
IND249201AAA,IND249407AAA,5.448916860916861,6.865547689280098,21.28245,143.5,1.0,10,4.539231051150773,IND249201AAA → IND249407AAA
IND403401AAA,IND403726AAB,3.185841759571342,9.859120707894293,25.456025,96.25,1.0,4,4.5320729161968245,IND403401AAA → IND403726AAB
IND125001AAA,IND335501AAA,3.3393508198556625,9.606812222863473,59.497475,226.0,1.0,4,4.517783994801307,IND125001AAA → IND335501AAA
IND784001AAA,IND784101AAA,3.7083333333333335,8.755208333333334,16.651966666666667,50.666666666666664,1.0,3,4.409895833333334,IND784001AAA → IND784101AAA
IND000000ABG,IND501359AAF,4.28435548557006,7.93333889923327,24.012310256410256,102.92307692307692,1.0,39,4.393743863998004,IND000000ABG → IND501359AAF
IND721102AAA,IND712311AAA,6.989339218086123,4.102055045379977,111.65094210526317,588.1578947368421,1.0,19,4.326352200848442,IND721102AAA → IND712311AAA
