node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND431136AAC,5,5,0.005615088465440798,0.0015345233366962222,1.5027063923871853
IND756019AAA,3,5,0.006009373598696737,0.0009914015846096457,1.5027011699148616
IND125005AAA,4,5,0.005471267920875855,0.0010210204064262666,1.5024948132902782
IND282002AAD,6,5,0.004634854197713778,0.0014354797258497706,1.5022845855968405
IND144001AAB,5,5,0.00361440230689721,0.0024222197909061884,1.5021724268600307
IND201007AAA,8,5,0.0037516409823987367,0.0021554045428923817,1.5021472777558271
IND600044AAD,5,5,0.00361440230689721,0.001661116655816791,1.5019440959195038
IND413002AAA,5,5,0.0037017259607692705,0.0013735076180067325,1.5018927426697097
IND632006AAA,4,5,0.003256144154741187,0.0007376516778432433,1.5015237531652494
IND485001AAC,2,5,0.0028124819407899307,0.0006163642376727676,1.5013099020476177
IND110085AAB,4,5,0.0024117960748512653,0.0009412622218129102,1.5012470970964844
IND396191AAC,3,5,0.002010195818529353,0.0006087500260004075,1.5009867033352118
IND122001AAA,2,5,0.002061965757596862,0.00045433042170322466,1.5009610854295496
IND395023AAD,5,5,1.7922051511633604e-05,0.002388761936643159,1.5007237974015977
IND403726AAB,5,5,7.3151230659729e-06,0.0022056779277530476,1.5006646294275523
IND306401AAB,3,4,0.011822427582110424,0.001282779855236884,1.2051138049894152
IND305001AAC,5,4,0.009993921132732175,0.0027507517340545754,1.2048227939733092
IND211002AAB,6,4,0.008808017765020203,0.0018198813960915645,1.2040691715248355
IND532001AAB,5,4,0.00720978529382289,0.00165023329834298,1.203378984107032
IND691001AAB,2,4,0.006082524829356466,0.0013438588812565311,1.2028361675961194
IND756100AAC,3,4,0.006002789987937362,0.0010279518300413035,1.2027095015441873
IND390022AAA,5,4,0.005321817779518041,0.0013580375029828345,1.202536138362702
IND500039AAC,5,4,0.004817740051249752,0.0015634875654009727,1.2023961422901202
IND342005AAD,2,4,0.0052120251845056914,0.0008691136792618065,1.2023455441775808
IND151001AAA,5,4,0.004612550849249212,0.0014984633789735993,1.2022945593533918
IND788026AAC,3,4,0.004815179758176661,0.001192279375057853,1.202283755715788
IND431603AAA,4,4,0.0048133509774101685,0.0010966542329101175,1.2022543366608371
IND721306AAA,4,4,0.004814814002023363,0.0010807000806037324,1.2022501356249904
IND422011AAD,2,4,0.004810424928183779,0.0010530002668393047,1.2022400700513252
