source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,estimated_revenue_risk
791,782,3.901595860566449,7.137552797935623,25.383355555555553,77.33333333333333,1.0,9,4.001904183607267,4500.0
381,334,4.764508913737657,5.986662684818157,76.75762,378.6,1.0,15,4.00180237094051,7500.0
545,538,6.5921269955490605,3.5460478390030237,25.544135999999998,157.76,1.0,25,4.000665149920532,12500.0
1496,1475,4.588541666666667,6.1615125868055545,35.90525,127.0,1.0,2,3.983870442708333,1000.0
1,1190,6.2857142857142865,3.8359476021813683,12.518075,78.25,1.0,4,3.9650699949401247,2000.0
310,304,6.953707798909037,2.9415239943133864,44.9044,207.0,1.0,3,3.963940317857631,1500.0
1152,945,8.01923076923077,1.4977810650887566,80.5539,625.5,1.0,2,3.957026627218935,1000.0
504,500,5.637254901960785,4.490660643342306,25.784475,120.0,1.0,4,3.9021001537870057,2000.0
866,857,4.163690476190476,6.398827239229026,20.6629,81.5,1.0,2,3.8851243622448983,1000.0
502,500,5.89047619047619,3.966598639455781,12.785066666666665,77.66666666666667,1.0,3,3.8461700680272104,1500.0
222,317,3.1441690941225566,7.539514681749419,70.88155,205.5,1.0,8,3.8195220421738485,4000.0
713,715,5.0444290444290445,4.9910238001461105,91.00616,373.0,1.0,5,3.815078757815451,2500.0
712,715,5.224758011608334,4.833247550881697,86.42405833333333,375.625,0.9166666666666666,24,3.8148774699078425,11000.0
385,334,3.7566513874788714,6.6849890268031595,51.46591666666667,210.27777777777777,1.0,18,3.8081572630324962,9000.0
346,340,4.934157363104732,5.078425152715425,12.279718421052632,54.473684210526315,1.0,38,3.7971904910565204,19000.0
1466,1455,3.26109022556391,7.294700378766465,23.3774875,64.375,1.0,8,3.7928462038555035,4000.0
187,327,3.815183681490183,6.443233842610797,52.327912500000004,163.125,1.0,8,3.7590436253793125,4000.0
341,340,3.7929617604617603,6.4245979827373025,15.984773333333333,51.333333333333336,1.0,15,3.7445640990058946,7500.0
207,200,3.185720975144967,7.281132783573578,27.4917375,77.5,0.9375,16,3.7398782251300604,7500.0
332,328,5.016287878787879,4.732083524640343,21.7673,94.25,1.0,4,3.726140208907254,2000.0
540,523,4.047887295414033,5.809567293430522,16.951321818181817,55.09090909090909,1.0,55,3.66202510619477,27500.0
1449,1424,4.520689550101315,5.1775687543876066,15.19978888888889,54.888888888888886,1.0,9,3.661546446356808,4500.0
