node,in_degree,out_degree,betweenness,pagerank,bottleneck_score,estimated_delay_cost
8.0,1,49,0.08093541029503487,0.0002743254814431082,14.732456461762446,147324.56461762445
916.0,4,35,0.07563480484789513,0.0010531875548169816,10.530569878205602,105305.69878205602
134.0,1,29,0.045650878815757,0.00033663611429816335,8.718361342360591,87183.61342360592
603.0,1,29,0.00041980219419384475,0.00011083449721421368,8.70020117122684,87002.0117122684
748.0,1,27,0.06976464911943253,0.0004138726105630819,8.128030021430941,81280.30021430942
28.0,1,24,0.019694512933775245,0.00010476268355178192,7.207909233978575,72079.09233978576
1219.0,2,22,0.11635989139283286,0.00026928725399925023,6.646624742733333,66466.24742733332
76.0,2,20,0.05806961151813795,0.00258492741111861,6.024003322830591,60240.03322830591
566.0,1,20,0.001364208686223986,0.00028691073176967196,6.000631756694021,60006.317566940204
903.0,2,18,0.15681175820225138,0.0013550031579621638,5.463131204228288,54631.31204228288
1028.0,1,18,0.01145668519725635,0.0005775820790603318,5.40475594870262,54047.5594870262
1353.0,1,15,0.00240643153530784,0.00012753695805498683,4.501000833701539,45010.008337015395
1460.0,1,15,0.0004894228551121308,0.000185,4.500251269142045,45002.51269142045
479.0,1,13,0.0018225323335272024,0.0001531840000413731,3.9007749681334234,39007.74968133424
204.0,1,13,0.0004435533791553069,0.0001950354968479477,3.9002359320007165,39002.35932000716
906.0,1,12,0.016211705296484556,0.00041962357390029734,3.6066105691907637,36066.105691907636
345.0,1,12,0.0003887772088379347,0.0001409459216406097,3.600197794660027,36001.97794660027
862.0,2,11,0.09872748073585731,0.0007889013324090157,3.3397276626940653,33397.27662694065
1229.0,2,11,0.0010745332966377527,0.00018139346759425728,3.3004842313589333,33004.84231358933
528.0,1,11,1.361982012633849e-05,0.00010411558370704566,3.3000366826031624,33000.366826031626
7.0,1,9,0.024345662214713057,0.0005254073388296524,2.709895887087534,27098.95887087534
673.0,1,9,0.008997386775874658,0.00017304893242079837,2.703650869390076,27036.50869390076
